model,window_days,cap_quantile,cap_value,trend,damped_trend,seasonal,seasonal_periods,selection_score,r2,r2_log,mae,rmse,mape
hw_recent_w49_q0985_damped,49,0.985,9274.44,add,True,add,7,0.12798555595025365,0.1170731923658005,0.13526046500655575,550.0936222461655,663.2709492918378,9.512106529189953
hw_recent_w49_qnone_damped,49,,,add,True,add,7,0.12093699623097617,0.11015767518919428,0.12812321025883078,554.4804208636249,665.8634150357378,9.610983576883193
hw_recent_w49_q099_damped,49,0.99,9531.959999999995,add,True,add,7,0.10724462709682961,0.09730259605376124,0.11387264779220851,556.6623109728716,670.6558560704618,9.636999703893116
hw_recent_w63_qnone_damped,63,,,add,True,add,7,0.09249710069076109,0.061314911058650834,0.11328522711216793,528.5697566718989,683.8936699443549,8.724689785712195
hw_recent_w55_q098_plain,55,0.98,8866.080000000002,add,False,add,7,0.08762439457123287,0.07831655849190455,0.09382961862411843,565.4407066046091,677.6719612342724,9.81169374594398
hw_recent_w63_q0985_damped,63,0.985,9049.11,add,True,add,7,0.04074277689031562,0.004749935860719812,0.0647380042433795,518.3533692826442,704.1979095661209,8.469497192732245
hw_recent_w57_q0985_plain,57,0.985,9145.679999999997,add,False,add,7,-0.016366682091528605,-0.038830385053520766,-0.0013908801168671658,557.6242083510746,719.450545757376,9.026142039921657
hw_recent_w57_qnone_plain,57,,,add,False,add,7,-0.05014852255747382,-0.06674390991438583,-0.03908493098619914,567.8984640030071,729.0523437461611,9.211074274259836
hw_recent_w49_qnone_plain,49,,,add,False,add,7,-0.054338803132894326,-0.0574030309846969,-0.05229598456502593,611.3167079279908,725.8533739379735,10.80405661599
hw_recent_w63_q098_plain,63,0.98,8760.159999999998,add,False,add,7,-0.0557661346703171,-0.09266089526474564,-0.031169627607364747,549.8735383739426,737.8555098867282,8.889680866602708
hw_recent_w49_q099_plain,49,0.99,9531.959999999995,add,False,add,7,-0.07717004054722171,-0.07789766755870176,-0.0766849558729017,620.5577410380686,732.8538782614536,10.991968837236032
hw_recent_w57_q099_plain,57,0.99,9446.119999999997,add,False,add,7,-0.07747940299753546,-0.09485160951958749,-0.06589793198283411,573.5307041728744,738.5948157372835,9.285369783846962
hw_recent_w49_q0985_plain,49,0.985,9274.44,add,False,add,7,-0.10651763312652336,-0.10576149980251404,-0.10702172200919624,631.6693844211743,742.2656391756389,11.214562429806726
hw_recent_w57_q098_plain,57,0.98,8812.119999999994,add,False,add,7,-0.13308007533557142,-0.14740259246460785,-0.12353173058288047,581.5323069871441,756.1127088334806,9.391486289596827
hw_recent_w63_q098_damped,63,0.98,8760.159999999998,add,True,add,7,-0.17947204392520213,-0.21134450638068114,-0.15822373562154946,585.4169270338828,776.8952415617171,9.498073144062124
hw_full_add_damped,122,,,add,True,add,7,-0.20174765007440265,-0.22948243393488954,-0.1832577941674114,598.3334688755334,782.6900060932575,9.794587498867864
hw_full_add_add,122,,,add,False,add,7,-0.5982105230285204,-0.6207206133312175,-0.5832037961600556,752.0021609958293,898.6337022454001,13.175579806946628
hw_recent_w63_qnone_plain,63,,,add,False,add,7,-1.6449522925277256,-1.4401874573579465,-1.7814621826409116,940.7880209408663,1102.6564434683214,15.609505319487885
hw_recent_w49_q098_plain,49,0.98,9016.919999999998,add,False,add,7,-4.336459125335966,-4.884193220924853,-3.9713030616100413,1488.9961287111141,1712.2693668983534,27.330308611216424
hw_recent_w63_q0985_plain,63,0.985,9049.11,add,False,add,7,-8.59086228827328,-6.070154396348797,-10.271334216222936,1726.121995944924,1876.9083800280562,29.6431506019384
hw_recent_w63_q099_plain,63,0.99,9381.740000000003,add,False,add,7,-9.142342429111176,-6.374049865605964,-10.987870804781318,1763.5108787137576,1916.821444650905,30.31577406976618
